zip_code,latitude,longitude,city,state
501,40.922326,-72.637078,Holtsville,NY
544,40.922326,-72.637078,Holtsville,NY
601,18.165273,-66.722583,Adjuntas,PR
602,18.393103,-67.180953,Aguada,PR
603,18.455913,-67.14578,Aguadilla,PR
604,18.49352,-67.135883,Aguadilla,PR
605,18.465162,-67.141486,Aguadilla,PR
606,18.172947,-66.944111,Maricao,PR
610,18.288685,-67.139696,Anasco,PR
611,18.279531,-66.80217,Angeles,PR
612,18.450674,-66.698262,Arecibo,PR
613,18.458093,-66.732732,Arecibo,PR
614,18.429675,-66.674506,Arecibo,PR
616,18.444792,-66.640678,Bajadero,PR
617,18.447092,-66.544255,Barceloneta,PR
622,17.998531,-67.187318,Boqueron,PR
623,18.062201,-67.149541,Cabo Rojo,PR
624,18.023535,-66.726156,Penuelas,PR
627,18.477891,-66.85477,Camuy,PR
631,18.269187,-66.864993,Castaner,PR
636,18.113284,-67.039706,Rosario,PR
637,18.087322,-66.934911,Sabana Grande,PR
638,18.33616,-66.472087,Ciales,PR
641,18.250027,-66.698957,Utuado,PR
646,18.43606,-66.281954,Dorado,PR
647,17.969594,-66.939754,Ensenada,PR
650,18.360125,-66.562311,Florida,PR
652,18.457254,-66.603358,Garrochales,PR
653,17.972468,-66.898661,Guanica,PR
656,18.02328,-66.786909,Guayanilla,PR
659,18.481391,-66.808696,Hatillo,PR
660,18.145486,-67.135323,Hormigueros,PR
662,18.480285,-67.028155,Isabela,PR
664,18.217606,-66.598306,Jayuya,PR
667,18.015099,-67.055973,Lajas,PR
669,18.295952,-66.881925,Lares,PR
670,18.252135,-66.990967,Las Marias,PR
674,18.44553,-66.490268,Manati,PR
676,18.383727,-67.080799,Moca,PR
677,18.335781,-67.252547,Rincon,PR
678,18.45303,-66.933689,Quebradillas,PR
680,18.219023,-67.508068,Mayaguez,PR
681,18.219023,-67.508068,Mayaguez,PR
682,18.219023,-67.508068,Mayaguez,PR
683,18.113284,-67.039706,San German,PR
685,18.3236,-66.972227,San Sebastian,PR
687,18.316976,-66.415207,Morovis,PR
688,18.429675,-66.674506,Sabana Hoyos,PR
690,18.476196,-67.139597,San Antonio,PR
692,18.435818,-66.338523,Vega Alta,PR
693,18.443109,-66.398302,Vega Baja,PR
694,18.443109,-66.398302,Vega Baja,PR
698,18.06104,-66.861164,Yauco,PR
703,18.250398,-66.12845,Aguas Buenas,PR
704,17.99229,-66.139253,Aguirre,PR
705,18.128092,-66.268717,Aibonito,PR
707,18.007014,-65.898719,Maunabo,PR
714,17.96751,-66.04138,Arroyo,PR
715,18.011854,-66.563721,Mercedita,PR
716,18.001995,-66.607429,Ponce,PR
717,18.001995,-66.607429,Ponce,PR
718,18.22139,-65.77831,Naguabo,PR
719,18.298017,-66.229751,Naranjito,PR
720,18.226862,-66.39402,Orocovis,PR
721,18.364161,-65.778288,Palmer,PR
723,18.009994,-66.010572,Patillas,PR
725,18.212965,-66.058033,Caguas,PR
726,18.212965,-66.058033,Caguas,PR
727,18.212965,-66.058033,Caguas,PR
728,18.001995,-66.607429,Ponce,PR
729,18.333093,-65.883864,Canovanas,PR
730,18.001995,-66.607429,Ponce,PR
731,18.03831,-66.626344,Ponce,PR
732,18.021781,-66.613742,Ponce,PR
733,18.019331,-66.619165,Ponce,PR
734,17.999499,-66.643934,Ponce,PR
735,18.264872,-65.594769,Ceiba,PR
736,18.102967,-66.139274,Cayey,PR
737,18.102967,-66.139274,Cayey,PR
738,18.359381,-65.611361,Fajardo,PR
739,18.181469,-66.169519,Cidra,PR
740,18.331958,-65.63878,Puerto Real,PR
741,18.162156,-65.753485,Punta Santiago,PR
742,18.264872,-65.594769,Roosevelt Roads,PR
744,18.206329,-65.743058,Rio Blanco,PR
745,18.367347,-65.816583,Rio Grande,PR
751,17.99852,-66.264825,Salinas,PR
754,18.187584,-65.962389,San Lorenzo,PR
757,17.991233,-66.395543,Santa Isabel,PR
765,18.123347,-65.460356,Vieques,PR
766,18.120519,-66.496607,Villalba,PR
767,18.045522,-65.886988,Yabucoa,PR
769,18.095992,-66.35081,Coamo,PR
771,18.196576,-65.87197,Las Piedras,PR
772,18.447406,-65.899357,Loiza,PR
773,18.366027,-65.708138,Luquillo,PR
775,18.323736,-65.296467,Culebra,PR
777,18.206489,-65.901774,Juncos,PR
778,18.259092,-65.974641,Gurabo,PR
780,18.001995,-66.607429,Coto Laurel,PR
782,18.224958,-66.219885,Comerio,PR
783,18.304369,-66.330525,Corozal,PR
784,17.99229,-66.139253,Guayama,PR
785,18.018822,-66.795603,Guayama,PR
786,18.128092,-66.268717,La Plata,PR
791,18.138029,-65.788499,Humacao,PR
792,18.138029,-65.788499,Humacao,PR
794,18.200898,-66.307236,Barranquitas,PR
795,17.997367,-66.493218,Juana Diaz,PR
801,18.322285,-64.963715,St Thomas,VI
802,18.322285,-64.963715,St Thomas,VI
803,18.322285,-64.963715,St Thomas,VI
804,18.322285,-64.963715,St Thomas,VI
805,18.322285,-64.963715,St Thomas,VI
820,17.734211,-64.734694,Christiansted,VI
821,17.734211,-64.734694,Christiansted,VI
822,17.734211,-64.734694,Christiansted,VI
823,17.734211,-64.734694,Christiansted,VI
824,17.734211,-64.734694,Christiansted,VI
830,18.32816,-64.740737,St John,VI
831,18.32816,-64.740737,St John,VI
840,17.734211,-64.734694,Frederiksted,VI
841,17.734211,-64.734694,Frederiksted,VI
850,17.734211,-64.734694,Kingshill,VI
851,17.734211,-64.734694,Kingshill,VI
901,18.465901,-66.103568,San Juan,PR
902,18.410462,-66.060533,San Juan,PR
906,18.410462,-66.060533,San Juan,PR
907,18.451647,-66.077003,San Juan,PR
908,18.410462,-66.060533,San Juan,PR
909,18.443384,-66.068133,San Juan,PR
910,18.410462,-66.060533,San Juan,PR
911,18.450828,-66.057859,San Juan,PR
912,18.444187,-66.059859,San Juan,PR
