top: 1, prec: 1.000000, rec: 1.000000
top: 2, prec: 0.333333, rec: 1.000000
top: 3, prec: 0.307692, rec: 1.000000
top: 4, prec: 0.307692, rec: 1.000000
top: 5, prec: 0.285714, rec: 1.000000
top: 6, prec: 0.285714, rec: 1.000000
top: 7, prec: 0.266667, rec: 1.000000
top: 8, prec: 0.266667, rec: 1.000000
top: 9, prec: 0.250000, rec: 1.000000
top: 10, prec: 0.250000, rec: 1.000000
top: 11, prec: 0.235294, rec: 1.000000
top: 12, prec: 0.235294, rec: 1.000000
top: 13, prec: 0.222222, rec: 1.000000
top: 14, prec: 0.222222, rec: 1.000000
top: 15, prec: 0.210526, rec: 1.000000
top: 16, prec: 0.210526, rec: 1.000000
top: 17, prec: 0.200000, rec: 1.000000
top: 18, prec: 0.200000, rec: 1.000000
top: 19, prec: 0.190476, rec: 1.000000
top: 20, prec: 0.190476, rec: 1.000000
top: 21, prec: 0.190476, rec: 1.000000
top: 22, prec: 0.190476, rec: 1.000000
top: 23, prec: 0.190476, rec: 1.000000
top: 24, prec: 0.190476, rec: 1.000000
top: 25, prec: 0.190476, rec: 1.000000
top: 26, prec: 0.190476, rec: 1.000000
top: 27, prec: 0.190476, rec: 1.000000
top: 28, prec: 0.190476, rec: 1.000000
top: 29, prec: 0.190476, rec: 1.000000
top: 30, prec: 0.190476, rec: 1.000000
top: 31, prec: 0.190476, rec: 1.000000
top: 32, prec: 0.190476, rec: 1.000000
top: 33, prec: 0.190476, rec: 1.000000
top: 34, prec: 0.190476, rec: 1.000000
top: 35, prec: 0.190476, rec: 1.000000
top: 36, prec: 0.190476, rec: 1.000000
top: 37, prec: 0.190476, rec: 1.000000
top: 38, prec: 0.190476, rec: 1.000000
top: 39, prec: 0.190476, rec: 1.000000
top: 40, prec: 0.190476, rec: 1.000000
top: 41, prec: 0.190476, rec: 1.000000
top: 42, prec: 0.190476, rec: 1.000000
top: 43, prec: 0.190476, rec: 1.000000
top: 44, prec: 0.190476, rec: 1.000000
top: 45, prec: 0.190476, rec: 1.000000
top: 46, prec: 0.190476, rec: 1.000000
top: 47, prec: 0.190476, rec: 1.000000
top: 48, prec: 0.190476, rec: 1.000000
top: 49, prec: 0.181818, rec: 1.000000
top: 50, prec: 0.181818, rec: 1.000000
