top: 1, prec: 0.000000, rec: 0.000000
top: 2, prec: 0.750000, rec: 1.000000
top: 3, prec: 0.600000, rec: 1.000000
top: 4, prec: 0.500000, rec: 1.000000
top: 5, prec: 0.500000, rec: 1.000000
top: 6, prec: 0.428571, rec: 1.000000
top: 7, prec: 0.428571, rec: 1.000000
top: 8, prec: 0.375000, rec: 1.000000
top: 9, prec: 0.375000, rec: 1.000000
top: 10, prec: 0.333333, rec: 1.000000
top: 11, prec: 0.333333, rec: 1.000000
top: 12, prec: 0.300000, rec: 1.000000
top: 13, prec: 0.300000, rec: 1.000000
top: 14, prec: 0.272727, rec: 1.000000
top: 15, prec: 0.272727, rec: 1.000000
top: 16, prec: 0.272727, rec: 1.000000
top: 17, prec: 0.272727, rec: 1.000000
top: 18, prec: 0.272727, rec: 1.000000
top: 19, prec: 0.272727, rec: 1.000000
top: 20, prec: 0.272727, rec: 1.000000
top: 21, prec: 0.272727, rec: 1.000000
top: 22, prec: 0.272727, rec: 1.000000
top: 23, prec: 0.272727, rec: 1.000000
top: 24, prec: 0.272727, rec: 1.000000
top: 25, prec: 0.272727, rec: 1.000000
top: 26, prec: 0.250000, rec: 1.000000
top: 27, prec: 0.250000, rec: 1.000000
top: 28, prec: 0.250000, rec: 1.000000
top: 29, prec: 0.250000, rec: 1.000000
top: 30, prec: 0.250000, rec: 1.000000
top: 31, prec: 0.250000, rec: 1.000000
top: 32, prec: 0.250000, rec: 1.000000
top: 33, prec: 0.250000, rec: 1.000000
top: 34, prec: 0.250000, rec: 1.000000
top: 35, prec: 0.250000, rec: 1.000000
top: 36, prec: 0.250000, rec: 1.000000
top: 37, prec: 0.250000, rec: 1.000000
top: 38, prec: 0.230769, rec: 1.000000
top: 39, prec: 0.230769, rec: 1.000000
top: 40, prec: 0.230769, rec: 1.000000
top: 41, prec: 0.230769, rec: 1.000000
top: 42, prec: 0.230769, rec: 1.000000
top: 43, prec: 0.230769, rec: 1.000000
top: 44, prec: 0.230769, rec: 1.000000
top: 45, prec: 0.230769, rec: 1.000000
top: 46, prec: 0.230769, rec: 1.000000
top: 47, prec: 0.230769, rec: 1.000000
top: 48, prec: 0.230769, rec: 1.000000
top: 49, prec: 0.230769, rec: 1.000000
top: 50, prec: 0.214286, rec: 1.000000
top: 51, prec: 0.214286, rec: 1.000000
top: 52, prec: 0.214286, rec: 1.000000
top: 53, prec: 0.214286, rec: 1.000000
top: 54, prec: 0.214286, rec: 1.000000
top: 55, prec: 0.214286, rec: 1.000000
top: 56, prec: 0.214286, rec: 1.000000
top: 57, prec: 0.214286, rec: 1.000000
top: 58, prec: 0.214286, rec: 1.000000
top: 59, prec: 0.214286, rec: 1.000000
top: 60, prec: 0.214286, rec: 1.000000
top: 61, prec: 0.214286, rec: 1.000000
top: 62, prec: 0.200000, rec: 1.000000
top: 63, prec: 0.200000, rec: 1.000000
top: 64, prec: 0.200000, rec: 1.000000
top: 65, prec: 0.200000, rec: 1.000000
top: 66, prec: 0.200000, rec: 1.000000
top: 67, prec: 0.200000, rec: 1.000000
top: 68, prec: 0.200000, rec: 1.000000
top: 69, prec: 0.200000, rec: 1.000000
top: 70, prec: 0.200000, rec: 1.000000
top: 71, prec: 0.200000, rec: 1.000000
top: 72, prec: 0.200000, rec: 1.000000
top: 73, prec: 0.200000, rec: 1.000000
top: 74, prec: 0.187500, rec: 1.000000
top: 75, prec: 0.187500, rec: 1.000000
top: 76, prec: 0.187500, rec: 1.000000
top: 77, prec: 0.187500, rec: 1.000000
top: 78, prec: 0.187500, rec: 1.000000
top: 79, prec: 0.187500, rec: 1.000000
top: 80, prec: 0.187500, rec: 1.000000
top: 81, prec: 0.187500, rec: 1.000000
top: 82, prec: 0.187500, rec: 1.000000
top: 83, prec: 0.187500, rec: 1.000000
top: 84, prec: 0.187500, rec: 1.000000
top: 85, prec: 0.187500, rec: 1.000000
top: 86, prec: 0.176471, rec: 1.000000
top: 87, prec: 0.176471, rec: 1.000000
top: 88, prec: 0.176471, rec: 1.000000
top: 89, prec: 0.176471, rec: 1.000000
top: 90, prec: 0.176471, rec: 1.000000
top: 91, prec: 0.176471, rec: 1.000000
top: 92, prec: 0.176471, rec: 1.000000
top: 93, prec: 0.176471, rec: 1.000000
top: 94, prec: 0.176471, rec: 1.000000
top: 95, prec: 0.176471, rec: 1.000000
top: 96, prec: 0.176471, rec: 1.000000
top: 97, prec: 0.176471, rec: 1.000000
top: 98, prec: 0.166667, rec: 1.000000
top: 99, prec: 0.166667, rec: 1.000000
top: 100, prec: 0.166667, rec: 1.000000
top: 101, prec: 0.166667, rec: 1.000000
top: 102, prec: 0.166667, rec: 1.000000
top: 103, prec: 0.166667, rec: 1.000000
top: 104, prec: 0.166667, rec: 1.000000
top: 105, prec: 0.166667, rec: 1.000000
top: 106, prec: 0.166667, rec: 1.000000
top: 107, prec: 0.166667, rec: 1.000000
top: 108, prec: 0.166667, rec: 1.000000
top: 109, prec: 0.166667, rec: 1.000000
top: 110, prec: 0.157895, rec: 1.000000
top: 111, prec: 0.157895, rec: 1.000000
top: 112, prec: 0.157895, rec: 1.000000
top: 113, prec: 0.157895, rec: 1.000000
top: 114, prec: 0.157895, rec: 1.000000
top: 115, prec: 0.157895, rec: 1.000000
top: 116, prec: 0.157895, rec: 1.000000
top: 117, prec: 0.157895, rec: 1.000000
top: 118, prec: 0.157895, rec: 1.000000
top: 119, prec: 0.157895, rec: 1.000000
top: 120, prec: 0.157895, rec: 1.000000
top: 121, prec: 0.157895, rec: 1.000000
Total: 37.27 secs
